Year,Aus,Aman,Boro,Total
1971-72,2341,7061.96,1738,11140.96
1972-73,2243,6986.02,2071,11300.02
1973-74,2801,8164.33,2220,13185.33
1974-75,2859,7174,2250,12283
1975-76,3229,8671.58,2286,14186.58
1976-77,3014,8335.89,1650,12999.89
1977-78,3103,8963.75,2239,14305.75
1978-79,3287,8939.19,1929,14155.19
1979-80,2809,8640.63,2427,13876.63
1980-81,3289,9324.26,2630,15243.26
1981-82,3270,8612.55,3152,15034.55
1982-83,3065,8914.79,3548,15527.79
1983-84,3222,9382.31,3350,15954.31
1984-85,2783,9168.16,3909,15860.16
1985-86,2828,9966.14,3671,16465.14
1986-87,3130,9613.93,4010,16753.93
1987-88,2993,8813.66,4731,16537.66
1988-89,2856,7662.44,5831,16349.44
1989-90,2475,10241.74,6033,18749.74
1990-91,2261,10163.93,6357,18781.93
1991-92,2179,10123.19,6807,19109.19
1992-93,2075,10623.69,6586,19284.69
1993-94,1850.2,10295.49,6772.2,18917.89
1994-95,1790.7,9407.49,6538.7,17736.89
1995-96,1676,9579.52,7220.6,18476.12
1996-97,1870,10417.29,7460,19747.29
1997-98,1874.6,9629.89,8137.3,19641.79
1998-99,1616.9,8274,10551.9,20442.8
1999-00,1734,11163.86,11027,23924.86
2000-01,1916,12211.52,11920.5,26048.02
2001-02,1808,11623.66,11766,25197.66
2002-03,1850.7,11959.79,12222.2,26032.69
2003-04,1831.8,12306.33,12837.1,26975.23
2004-05,1500,10276.99,13837.1,25614.09
2005-06,1745,11401.26,13975.3,27121.56
2006-07,1512,11347.55,14965,27824.55
2007-08,1507,9948.72,17762,29217.72
2008-09,1895,12074.53,17809,31778.53
2009-10,1709,12773.79,18059,32541.79
2010-11,2132.82,13300.53,18616,34049.35
2011-12,2231,12736,15766,30733
2012-13,2067,12897,15889,30853
2013-14,2326,12952.2,15999,31277.2
2014-15,2328,13190.2,19343,34861.2
2015-16,2468,13591,19001.1,35060.1
2016-17,2133.6,13656,18411.9,34201.5
2017-18,2709.7,13992.9,19575.9,36278.5
2018-19,2920.2,14055,20388.52,37363.72
2019-20,3011.87,15502.09,20181.37,38695.33
