division,district,upazila,bazar,merchandise,price_type,year,lowest_price,maximum_price,price
Khulna,Satkhira,Satkhira Sadar,Satkhira Sadar,Aman,Retail,2010,4,5,4.5
Dhaka,Rajbari,Rajbari Sadar,Rajbari Sadar,Aman,Retail,2010,5,5,5
Dhaka,Kishoreganj,Kishoreganj Sadar,Kishoreganj Sadar,Aman,Retail,2010,5,6,5.5
Dhaka,Netrokona,Netrokona Sadar,Netrokona Sadar,Aman,Retail,2010,10,12,11
Dhaka,Netrokona,Netrokona Sadar,Netrokona Sadar,Aman,Retail,2010,12,12.5,12.25
Khulna,Narail,Narail Sadar,Narail Sadar,Aman,Retail,2010,14.5,16,15.25
Dhaka,Netrokona,Netrokona Sadar,Netrokona Sadar,Aman,Retail,2010,12,22,17
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Aman,Retail,2010,17.61,17.99,17.8
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Boro,Retail,2010,18.24,18.68,18.46
Dhaka,Netrokona,Netrokona Sadar,Netrokona Sadar,Aman,Retail,2010,12,25,18.5
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Boro,Retail,2010,18.53,18.98,18.76
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Aman,Retail,2010,18.68,19.08,18.88
Dhaka,Netrokona,Netrokona Sadar,Netrokona Sadar,Aus,Retail,2010,15,25.6,20.3
Khulna,Jhenaidah,Jhenaidah Sadar,Jhenaidah Sadar,Aman,Retail,2010,20,22,21
Dhaka,Jamalpur,Jamalpur Sadar,Jamalpur Sadar,Aman,Retail,2010,21.21,21.59,21.4
Khulna,Jhenaidah,Jhenaidah Sadar,Jhenaidah Sadar,Aman,Retail,2010,22,25,23.5
Khulna,Meherpur,Meherpur Sadar,Meherpur Sadar,Aman,Retail,2010,24,26,25
Rajshahi,Naogaon,Naogaon Sadar,Naogaon Sadar,Boro,Retail,2010,24.92,26,25.46
Chittagong,Lakshmipur,Lakshmipur Sadar,Lakshmipur Sadar,Aman,Retail,2010,25,26,25.5
Dhaka,Narayanganj,Narayanganj Sadar,Narayanganj Sadar,Aman,Retail,2010,25,26,25.5
